case_id,user_id
173688,1
173691,2
173694,3
173697,4
173700,5
173703,6
173706,7
173709,8
173712,9
173715,10
173718,11
173721,12
173724,13
173727,14
173730,15
173733,16
173736,17
173739,18
173742,19
173745,20
173748,21
173751,22
173754,23
173757,24
173760,25
173763,26
173766,27
173769,28
173772,29
173775,30
173778,31
173781,32
173784,33
173787,34
173790,35
173793,36
173796,37
173799,38
173802,39
173805,40
173808,41
173811,42
173814,43
173817,44
173820,45
173823,46
173826,47
173829,48
173832,49
173835,50
173838,51
173841,52
173844,53
173847,54
173850,55
173853,56
173856,57
173859,58
173862,59
173865,60
173868,61
173871,62
173874,63
173877,64
173880,65
173883,66
173886,67
173889,68
173892,69
173895,70
173898,71
173901,72
173904,73
173907,74
173910,75
173913,76
173916,77
173919,78
173922,79
173925,80
173928,81
173931,82
173934,83
173937,84
173940,85
173943,86
173946,87
173949,88
173952,89
173955,90
173958,91
173961,92
173964,93
173979,94
173982,95
173985,96
173988,97
173991,98
173994,99
173997,100
174000,101
174003,102
174006,103
174009,104
174012,105
174015,106
174018,107
174021,108
174024,109
174027,110
174030,111
174033,112
174036,113
174039,114
174042,115
174045,116
174048,117
174051,118
174054,119
174057,120
174060,121
174063,122
174066,123
174069,124
174072,125
174075,126
174078,127
174081,128
174084,129
174087,130
174090,131
174093,132
174096,133
174099,134
174102,135
174105,136
174108,137
174111,138
174114,139
174117,140
174120,141
174123,142
174126,143
174129,144
174132,145
174135,146
174138,147
174141,148
174144,149
174147,150
174150,151
174153,152
174156,153
174159,154
174162,155
174165,156
174168,157
174171,158
174174,159
174177,160
174180,161
174183,162
174186,163
174189,164
174192,165
174195,166
174198,167
174201,168
174204,169
174207,170
174210,171
174213,172
174216,173
174219,174
174222,175
174225,176
174228,177
174231,178
174234,179
174237,180
174240,181
174243,182
174246,183
174249,184
174252,185
174255,186
174258,187
174261,188
174264,189
174267,190
174270,191
174273,192
174276,193
174279,194
174282,195
174285,196
174288,197
174291,198
174294,199
174297,200
174300,201
174303,202
174319,203
174322,204
174325,205
174328,206
174331,207
174334,208
174337,209
174340,210
174343,211
174346,212
174349,213
174352,214
174355,215
174358,216
174361,217
174364,218
174367,219
174370,220
174373,221
174376,222
174379,223
174382,224
174385,225
174388,226
174391,227
174394,228
174397,229
174400,230
174403,231
174406,232
174409,233
174412,234
174415,235
174418,236
174421,237
174424,238
174427,239
174430,240
174433,241
174436,242
174439,243
174442,244
174445,245
174448,246
174451,247
174454,248
174457,249
174460,250
174463,251
174466,252
174469,253
174472,254
174475,255
174478,256
174481,257
174484,258
174487,259
174490,260
174493,261
174496,262
174499,263
174502,264
174505,265
174508,266
174511,267
174514,268
174517,269
174520,270
174523,271
174526,272
174529,273
174532,274
174535,275
174538,276
174541,277
174544,278
174547,279
174559,280
174562,281
174565,282
174568,283
174571,284
174574,285
174577,286
174599,287
174602,288
174605,289
174608,290
174611,291
174614,292
174617,293
174620,294
174623,295
174626,296
174629,297
174632,298
174635,299
174638,300
174641,301
174644,302
174647,303
174650,304
174653,305
174656,306
174659,307
174662,308
174665,309
174668,310
174671,311
174674,312
174677,313
174680,314
174683,315
174686,316
174689,317
174692,318
174695,319
174698,320
174701,321
174704,322
174707,323
174710,324
174713,325
174716,326
174719,327
174722,328
174725,329
174728,330
174731,331
174734,332
174737,333
174740,334
174743,335
174746,336
174749,337
174752,338
174755,339
174758,340
174761,341
174764,342
174767,343
174770,344
174773,345
174776,346
174779,347
174782,348
174785,349
174788,350
174791,351
174794,352
174797,353
174800,354
174803,355
174806,356
174809,357
174812,358
174815,359
174818,360
174821,361
174824,362
174827,363
174830,364
174833,365
174836,366
174839,367
174842,368
174845,369
174848,370
174851,371
174854,372
174857,373
174860,374
174863,375
174866,376
174869,377
174872,378
174875,379
174878,380
174881,381
174884,382
174887,383
174890,384
174893,385
174896,386
174899,387
174902,388
174905,389
174908,390
174911,391
174914,392
174917,393
174920,394
174923,395
174926,396
174929,397
174932,398
174935,399
174938,400
174941,401
174944,402
174947,403
174950,404
174953,405
174956,406
174959,407
174962,408
174965,409
174968,410
174979,411
174982,412
174985,413
174988,414
174991,415
174994,416
174997,417
175000,418
175003,419
175006,420
175009,421
175012,422
175015,423
175018,424
175021,425
175024,426
175027,427
175030,428
175033,429
175036,430
175039,431
175042,432
175045,433
175048,434
175051,435
175054,436
175057,437
175060,438
175063,439
175066,440
175069,441
175072,442
175075,443
175078,444
175081,445
175084,446
175087,447
175090,448
175093,449
175096,450
175099,451
175102,452
175105,453
175108,454
175111,455
175114,456
175117,457
175120,458
175123,459
175126,460
175129,461
175132,462
175135,463
175138,464
175141,465
175144,466
175147,467
175150,468
175153,469
175156,470
175159,471
175162,472
175165,473
175168,474
175171,475
175174,476
175177,477
175180,478
175183,479
175186,480
175189,481
175192,482
175195,483
175198,484
175201,485
175204,486
175219,487
175222,488
175225,489
175228,490
175231,491
175234,492
175239,493
175242,494
175245,495
175248,496
175251,497
175254,498
175257,499
175260,500
